activity_uuid_product_uuid,activity_name,geography,reference_product_unit
006bc455-9d08-5639-858d-ccef38d2c35a_ad551fe0-84c5-471a-9acf-b7d2204fdb65,肥料、液体、牛的市场,全球,kg
006cdd6b-91db-5b84-a458-acedfa75e1ce_45fbbc41-7ae9-46cc-bb31-abfa11e69de0,供热市场，仅供城市垃圾焚烧再利用,日本,MJ
006f87df-e4b4-5076-8431-970a9f2d675e_66c93e71-f32b-4591-901c-55395db5c132,热电联产，木屑，6667 kW,印度，中央邦,kWh
006f87df-e4b4-5076-8431-970a9f2d675e_71e2f1db-a2c5-44d0-8337-dfff15be974d,热电联产，木屑，6667 kW,印度，中央邦,MJ
0071efa8-d049-5365-917b-51b9ac0c8ef6_0a346670-bfc2-5add-8d10-e08d1105653f,戊唑醇市场,全球,kg
0074060c-e958-52ca-9ae7-9840b1647801_b5a81719-8174-482a-af3d-1c5456de14b1,锯木生产，软木，原料，干燥 (u=10%),瑞士,m3
0074926f-8ca0-5341-b608-e574e871d5c8_4c2bb0f0-422d-4fb3-bcfe-a36ef1b55874,皆伐、次生林转变为耕地、一年生作物,乌克兰,kg
00772d75-647a-51d5-aa4c-e54b20d8bb43_c6dd4cd2-cacd-40ed-b2b5-9c54cc21cee6,特定工艺负荷市场，城市垃圾焚烧,欧洲除了瑞士,kg
00782905-d1bd-53c5-9b33-f3c2857abf93_66c93e71-f32b-4591-901c-55395db5c132,电力生产、天然气、传统发电厂,坦桑尼亚，联合共和国,kWh
00789d43-a67f-5d50-89cb-8c4924c6c1dc_8f817492-39ba-42a3-a710-5f85a1f26379,果树苗生产，用于种植,瑞士,unit
0083f59e-0d18-54c9-9298-7961e97be24d_7e02ffad-fa75-41ed-94f1-3d9c6f7e91bd,运输，乘用车，大型，天然气，5 欧元,世界其它,km
00882f43-2876-5a12-988d-34531abb469d_9841f758-6561-44de-8f7f-95b82575528b,牧草生产，瑞士综合生产，集约化,瑞士,kg
008be990-1a4b-58f0-bf4b-0b9f00616ef6_cbae456e-4e3a-4537-8789-e259cecf25dc,电池管理系统市场，用于锂离子电池,全球,kg
008c8117-61ae-5346-89e8-42e9b15a0578_66c93e71-f32b-4591-901c-55395db5c132,电力生产、石油,印度比哈尔邦,kWh
008d2828-687c-5417-a524-c9cf99c98e0d_c5299a8e-d4b4-409c-9826-e8ae9e37c03d,水泥市场，波特兰,欧洲除了瑞士,kg
008f47d4-878a-5bb2-989a-3a5274b56bff_36dc50ef-017c-4d24-af51-f12ef802095e,运输、管道、近海、长距离、天然气,伊朗(伊斯兰共和国),metric ton*km
00914c56-0e79-517d-be56-e5321223139e_b2fc2305-cd02-44ac-9b7f-4ae6ad257d2b,苯甲醛市场,世界其它,kg
0092a5bc-76c7-5cb1-88c5-f9003ddd4cfe_065d2e72-48d3-4791-9a60-ad15a99b9c57,软木林业,世界其它,kg
0092a5bc-76c7-5cb1-88c5-f9003ddd4cfe_1fb2e33c-efb6-42f9-99e0-f9024ace9fcc,软木林业,世界其它,kg
0093e8e2-5a8d-5ac4-9c87-28b8a36f8084_35acd9b5-a505-4019-a044-602d75c177cc,炸药厂建设,瑞士,unit
00978ec2-d7f9-5a14-8029-fdfef4d4f320_bb6df298-3f43-4fa9-9359-0be51d35a1eb,水电站建设、水库,"加拿大,魁北克",unit
009c2cd9-1eff-5802-b95b-83acac599173_06b8d05b-e1e6-427b-929c-bb55e84e7c08,氨生产，蒸汽重整，液体,中国,kg
009c2cd9-1eff-5802-b95b-83acac599173_cc67a5bb-8085-58f6-9ff2-23890e454f10,氨生产，蒸汽重整，液体,中国,kg
009e0816-79db-59a1-bcfb-98da2ee1088a_1a4fe76f-06a8-5cac-8f30-cb90f71d5163,铽镝氧化物市场,全球,kg
00a5503a-ef60-556a-bb6c-d03903157acc_6dbeade5-eb8e-5666-b681-f479757cfd86,有机磷肥市场，如 P2O5,全球,kg
00a55750-32c4-596e-a79d-20188e84e585_66c93e71-f32b-4591-901c-55395db5c132,电力，高压，ZA进口,津巴布韦,kWh
00a605ac-183f-5b85-9f34-43fae3983b7f_66c93e71-f32b-4591-901c-55395db5c132,电力，高压，MD进口,乌克兰,kWh
00a61f9d-374a-5825-9ebb-1fe1c6a0e14b_d69294d7-8d64-4915-a896-9996a014c410,电力市场，低压,BR-South-eastern /中西部网格,kWh
00a8d7a7-2fd5-526c-8d2b-8552e6ae2195_66c93e71-f32b-4591-901c-55395db5c132,"电力生产, 硬煤",印度，安得拉邦,kWh
00ab130a-5349-59d3-8cf3-c4c8d0158d19_b80e26ff-c7bf-4c73-be42-6c29d2eac69c,牛奶喷雾干燥市场,全球,kg
00ae7438-c98a-5d8f-b572-f66a2d069f88_d2184fe3-da8e-40d0-a15e-f35bc3624d26,棉籽油，精炼，植物油通用市场，精炼,全球,kg
00b484f2-be79-5ea9-b294-fb002107ad2f_8f082e64-e307-450f-ba63-d07e65ab4954,锯木、板材、硬木、原木、干木的市场 (u=10%),世界其它,m3
00b75a44-a668-52d2-a3f0-27c7b64f2360_6eb408db-980a-4b9e-82a8-b6dca183ec35,纸浆木材市场，软木，按树皮下的实木测量,世界其它,m3
00bbde3e-445d-51f0-8041-abdb3d7e7b0a_bc15cbd3-ada1-4401-8eb3-cbba3cb7536c,软质纤维板生产废水处理，废水处理,瑞士,m3
00c42a05-96f0-594a-98fe-a4a24602b319_85e9e1e5-9aaa-48e7-ab3b-7597358317e8,运输市场，乘用车，5 欧元,世界其它,km
00c4be58-0102-51c9-8a75-1eddaeeda0cb_71e2f1db-a2c5-44d0-8337-dfff15be974d,热生产，来自工业的木屑，在炉子 5000kW，最先进的 2014,瑞士,MJ
00c5ca48-89bd-5ce7-9757-a06bacffb3e8_325592d0-d9d7-4d62-8cb4-b58761da37d7,激光加工市场，金属，YAG 激光器，50W 功率,全球,hour
00c5cf19-827c-56f4-ae3e-16a5f56e00d3_f4e8b38b-d6c7-423b-bc9c-13b4a13d55f8,运输、货运、卡车市场 16-32 公吨，EURO5,世界其它,metric ton*km
00c6b910-bfe2-53cf-bf17-4722ee0af29d_6095f789-4cd5-4bf5-94fa-5497ed4ac83f,人工拆解的切碎机残渣市场,瑞士,kg
00c89abd-de8c-546b-9085-8187e973e306_f4389ace-1613-4908-858e-f96224f365ed,木材防腐市场，喷雾隧道/雨淋，水性，室内使用，干燥,全球,kg
00ca92ef-5a5e-5af7-bc57-0231da060ca8_54186f39-acc2-4c84-95e7-fbb067bde4cd,施肥，通过钻机施肥，甘蔗,世界其它,ha
00cccbfb-efda-5610-95e1-31b56e6e8999_66c93e71-f32b-4591-901c-55395db5c132,发电、风力、1-3MW 涡轮机、陆上,阿根廷,kWh
00d1912f-fe1e-5691-ab06-384eddb7527f_43edbd86-ddc0-4934-9a4f-776bdf2c6406,"操作, 干粗饲料店, 风干, 太阳能",瑞士,kg
00d2bdef-9f96-5058-91aa-02586467c1a7_4cdd8521-4a4a-4e2b-a7de-aafc3dcdb0d1,膨润土采石场作业,世界其它,kg
00d40fea-9996-518d-ab72-9aa05567a196_7ec7cfb0-fca4-46aa-80c8-d8d2b674cd60,热磨浆生产,世界其它,kg
00d6e2ec-c086-56c2-9dbb-09be06f27f1d_06b8d05b-e1e6-427b-929c-bb55e84e7c08,氨水市场，无水，液体,中国,kg
00dfc4c2-2d14-5742-aae9-00d960aca5af_fbf87b1b-6462-4557-b412-1a7f79b12efc,二甲戊灵生产,欧洲,kg
00e42549-f805-5645-8909-b1246a9d07d9_dd80f0f2-f4d5-40f0-9035-09c1a7f3f07b,热生产，来自工业的木片，炉子 50kW,瑞士,MJ
00edbb5f-09b0-586c-8e43-041e232e156f_f2c50dcd-6418-4d9e-a807-4bd5c6be89b2,丙胺市场,全球,kg
00edc8a7-c4e3-5635-b333-18cb2112b891_bf56bcc1-aecc-4c4f-aec3-9a35e967ae8a,油菜种子生产，有机的，用于播种,世界其它,kg
00f69e06-b4e9-5d77-a6f4-c7530138437c_6e316745-6534-470e-9a69-3e20f2a54173,轻质砂浆生产,世界其它,kg
00f7c3b4-7d32-5f48-a4b0-00b75f3665f3_474e7001-a158-4379-8793-e02f0c14bbfe,氧化镝进入混合金属混合市场,全球,kg
00faade7-589b-513d-95ce-69ab83797db3_58b4780f-3f11-4c34-a25d-447aa7617351,钢冲击挤压市场，冷，3 冲程,全球,kg
00fc9ecb-2efd-55b7-8a92-5230a845de4d_113b50d5-d900-4fbf-adde-c69b662b6834,纤维板市场，软,世界其它,m3
00ff05df-70e2-508c-9a7b-e9ccb9afdef8_019600be-f3ce-4399-9e31-19cdc087ed5f,定向刨花板生产,欧洲,m3
00ff05df-70e2-508c-9a7b-e9ccb9afdef8_6d2c81d0-5546-4bc3-a4f4-3e88606d539d,定向刨花板生产,欧洲,kg
00ff05df-70e2-508c-9a7b-e9ccb9afdef8_888353c6-711d-4ba3-95eb-0368b6592c66,定向刨花板生产,欧洲,m3
01017145-1091-51c3-a2dd-e23c05d21783_68db7412-ba35-488b-8a45-9a9f48448522,硝酸市场，无水，50% 溶液状态,中国,kg
010276f0-8fcc-599c-808e-5bd6b1ee8c4d_102d2161-b570-42cd-b646-1c44e47d23c5,玻璃纤维市场,全球,kg
0102f1d1-1b30-55c6-9cc5-ca38a145168a_3c7c79f6-f850-44f5-bf8d-b434adeff91b,维修市场，火车，客运，高速,全球,unit
0103efff-b05e-5528-aee1-9d663d0ec3bb_18eadf40-089b-441a-b868-5d07e9449992,自来水厂市场，容量 1.1E10l/年,世界其它,unit
0106c128-c38f-56e2-9248-392ac9f411e8_a6b32de2-648a-4cd7-a256-9b122f68dd8b,氯气，用于四氯化锆和四氯化铪生产中的再利用，进入氯气通用市场,美国,kg
0108c47a-8bba-57e2-84e6-65b2b8ceb649_019600be-f3ce-4399-9e31-19cdc087ed5f,刨花板生产，未涂层，平均胶水混合,欧洲,m3
0108c47a-8bba-57e2-84e6-65b2b8ceb649_48e808be-14ac-4991-9338-2a4782fd1bbe,刨花板生产，未涂层，平均胶水混合,欧洲,m3
0108c47a-8bba-57e2-84e6-65b2b8ceb649_6d2c81d0-5546-4bc3-a4f4-3e88606d539d,刨花板生产，未涂层，平均胶水混合,欧洲,kg
01092957-122e-54d3-ba5a-f1565154c82d_092689fc-3f10-47fe-abbd-9ffaf77f3013,特定工艺负荷市场，炉渣填埋场,世界其它,kg
010ad19f-7268-5dcf-93ec-c33d747bcf58_66c93e71-f32b-4591-901c-55395db5c132,电力、高压、生产组合,俄罗斯,kWh
01101224-c9c0-5dae-baa6-c4e203889372_66c93e71-f32b-4591-901c-55395db5c132,电力生产、天然气、联合循环发电厂,秘鲁,kWh
01143124-7b57-56f5-bbf5-61e0b9e68aef_7ee0ddc3-924d-4339-b9bf-7856af6a698f,废聚乙烯处理、不卫生填埋、极湿渗透等级（1000mm）,全球,kg
011ca75a-a0f8-532c-af16-eda2933e936e_66c93e71-f32b-4591-901c-55395db5c132,电力生产、石油,北马其顿,kWh
011e7c7a-455b-587e-8e98-24fa288f4939_b10ae87f-0566-4203-b8c1-4f0b153f05f5,铝冲击挤压市场，3 冲程,全球,kg
0120dcae-b94b-5ac9-b043-678315db10c5_40f91e53-5b39-4acc-9d5f-aa1aa362e6cf,二手滑翔机、乘用车市场,全球,kg
01216380-0850-5ddd-8c21-88375d30ebdc_f372d4c2-7310-4fb9-8bb6-bee214fd08d1,土地利用变化市场，多年生作物,巴西，大北方,ha
012343f4-ea1f-5c61-82b7-f07e922b0c22_3fdbecc2-bb86-4c4b-8f5c-7b80e5e365c8,混凝土生产，25MPa，用于建筑施工，暴露等级 XC1，使用水泥，未指定,奥地利,m3
012343f4-ea1f-5c61-82b7-f07e922b0c22_76ab0018-e176-43e0-b42c-12e82b937fef,混凝土生产，25MPa，用于建筑施工，暴露等级 XC1，使用水泥，未指定,奥地利,kg
0124d7de-406a-5d25-a8e1-25dad2c3e0d6_e8a17c52-fef4-4297-994b-e7536c00dfab,二手制冷机市场，R134a 作为制冷剂,全球,unit
01252ada-9d26-587b-852d-48c7c8ac9fea_6bc9d2a8-743f-4d91-9195-daf50727c13d,底灰市场，MSWI-WWT，WW 来自中密度板生产,世界其它,kg
01257575-1f04-5dc7-9313-b11ab283b4d5_e75d41fd-587d-471c-a7c4-04fe1e4c8851,污水处理设施建设，泻湖，容量1.1E10l/年,"加拿大,魁北克",unit
012bf1d5-a6cf-58df-812b-afaa224ebeea_8a107433-7284-4997-9d3b-17a04e0eb00e,异丁烷市场,全球,kg
012c19fd-fd75-5c49-9212-6281691a7c6c_66c93e71-f32b-4591-901c-55395db5c132,电力生产、深层地热,泰国,kWh
012ecc70-268d-5101-8c54-211590622d68_2a609c28-8598-4480-9171-31df2a3491a9,天然石板制作，接地气,世界其它,kg
0134319d-7564-5fb6-8258-6fb4b9092e07_8931016e-3e07-5c9a-91a6-cd85b90a2aaa,已经使用的土地，多年生农田到牧场，人造,巴西，Espírito桑托,kg
0139be5f-e364-511e-a295-97b0221da52b_938af061-8c13-47af-a3ba-d8454aec9893,异丁醇市场,世界其它,kg
0144e52d-a43e-5032-ac9b-4efca1db522f_5a58a8d4-cf9a-4d39-8238-dc66ef28dc93,长石市场,全球,kg
014679f2-dde7-55b1-a4d0-7c12f0960886_3b01838a-28d0-43f5-8024-3fad9a5392c2,污水污泥市场，干的,世界其它,kg
01469f71-11f7-5b5a-8503-5d830d01d1af_45fbbc41-7ae9-46cc-bb31-abfa11e69de0,废包装纸处理，市政焚烧,世界其它,MJ
01469f71-11f7-5b5a-8503-5d830d01d1af_637ee275-a239-4dcb-b084-abfa110dd65b,废包装纸处理，市政焚烧,世界其它,kWh
0146cc44-d105-5de6-82e0-d973ff2e27e0_1125e767-7b5d-442e-81d6-9b0d3e1919ac,热电联产、天然气、联合循环发电厂、400MW 电力,沙特阿拉伯,MJ
0146cc44-d105-5de6-82e0-d973ff2e27e0_66c93e71-f32b-4591-901c-55395db5c132,热电联产、天然气、联合循环发电厂、400MW 电力,沙特阿拉伯,kWh
014e3362-3220-51dd-8e23-224e1cfa001c_779a79ee-7466-4a8b-8440-db906edf68e7,电池生产，锂离子，NMC111，可充电，棱柱形,中国,kg
0153da65-401a-59bd-8d6e-885b809078f8_c19931b7-1e62-4628-a0b5-f23ffa6ad5b4,石膏纤维板市场,全球,kg
0155900b-61ed-5f15-a012-1d20ad444728_dbfb29d6-e677-4932-9e63-90003928a00f,双环戊二烯系不饱和聚酯树脂生产,世界其它,kg
01613b03-a7ba-517a-9fa2-558a0fbb5d50_34967617-78b9-4120-9fbc-b8bf2d3c115b,番茄市场，新鲜等级,全球,kg
0169d62d-b98e-58e4-998f-33d47ede8ef5_d9da5528-0582-45ce-84d3-9f3e0b644df2,乙二醇单乙醚生产,世界其它,kg
0172aeb8-3c6b-55b4-b3f0-7a0be8ca42ff_a6b32de2-648a-4cd7-a256-9b122f68dd8b,氯气，用于四氯化锆和四氯化铪生产中的再利用，进入氯气通用市场,法国,kg
01765d94-58ff-5491-afbb-c88550bf2a1a_77bc11a8-289d-5b23-b0eb-d00b2f9a4be9,高炉粉尘市场，用于回收,欧洲,kg
01781d0f-4b77-5646-bdce-b6de87ae0eaa_66c93e71-f32b-4591-901c-55395db5c132,发电、水电、水库、非高山地区,加拿大萨斯喀彻温省,kWh
0179a18a-06ec-5ed3-acdf-2cdf16782b0c_759b89bd-3aa6-42ad-b767-5bb9ef5d331d,电力电压从高压到中压的转换,中国-西南电网,kWh
017ad68d-cc59-5296-83b5-3badf8f07b0f_f467c4d0-ea1c-4ae3-8d69-712598a0478a,大麦谷物市场，有机,全球,kg
017ad88a-1744-5134-a8fd-5cd190c6b86d_759b89bd-3aa6-42ad-b767-5bb9ef5d331d,电力电压从高压到中压的转换,乌拉圭,kWh
018387fd-711b-557a-bca8-6e32dbf7d44c_c49db5ac-422c-4a14-bcec-d208f225196c,对苯二胺市场,全球,kg
0187df26-ee2a-55b5-b7ea-2cb9286ecbb0_7c4dafff-fe18-45c0-92e4-857950032abb,无机钾肥市场，如 K2O,比利时,kg
018b6973-1c43-599f-8ace-776a854f8d48_2044879b-7d88-43d4-8525-8cb0a9ba62b7,轧机生产,世界其它,unit
018b76f0-16f3-5673-8697-e28d374363d4_66c93e71-f32b-4591-901c-55395db5c132,热电联产、石油,中西部可靠性组织，仅美国部分,kWh
018b76f0-16f3-5673-8697-e28d374363d4_71e2f1db-a2c5-44d0-8337-dfff15be974d,热电联产、石油,中西部可靠性组织，仅美国部分,MJ
018cf919-27c4-597b-99c2-207c9f2213d0_d69294d7-8d64-4915-a896-9996a014c410,电力从中压到低压的转换,白俄罗斯,kWh
01900b17-c204-5b96-80d7-ec8c783cc0d0_66c93e71-f32b-4591-901c-55395db5c132,电力、高压、生产组合,加拿大，新斯科舍省,kWh
01949e18-5492-5222-aa13-dabf1d00c310_da0a552f-5a2e-4a1c-b3ed-dd52439b3d84,为最终处置库处理低放废物,瑞士,m3
0197bb85-53ae-5952-b822-7bbdce257ae1_66c93e71-f32b-4591-901c-55395db5c132,电力、高压、生产组合,突尼斯,kWh
019c0cfb-beb4-5892-90e0-b87182854009_53f62fb9-56c8-51d4-9f01-f3cdc3e09c95,偶氮二甲酰胺市场,全球,kg
01a4f627-ed51-5568-b617-7c766357d913_b0176c67-5bc0-462a-8466-4f372f446f7c,废聚苯乙烯市场,黑山,kg
01a5bb07-c7f5-54b3-97fa-12637f59fd70_a5fc651b-3ee2-405f-b2f0-d035c8132be1,金属加工，铬钢产品制造平均值,欧洲,kg
01a790c5-4656-5a4e-911b-783487baa829_1adc665e-bf97-4113-a2bf-567f6c781504,椰子生产，去壳,世界其它,kg
01b9d101-c16f-59a3-8496-654409dcb159_399beb12-32d3-5f17-8f06-24f9132df400,己二腈生产,世界其它,kg
01bee71d-7512-524f-b92a-9dff04e4a6ba_66c93e71-f32b-4591-901c-55395db5c132,电力生产、水电、径流式河流,伊朗(伊斯兰共和国),kWh
01c0bc9e-3c90-501c-a6c6-245cb6f37de1_c6c77fb4-9850-4849-be9e-71fc9656bc03,有机溶剂市场,全球,kg
01c3bf38-0dcb-58ae-aaf7-974aac687040_3f5f5aef-3833-43d4-8b81-44123105afd7,灌溉市场,马来西亚,m3
01d4d4bf-5890-518f-bf12-9cc076a35e5e_9b9edcf3-0539-4642-9516-0df642a5c41a,已经使用的土地，一年生农田到多年生作物,土耳其,kg
01d599f9-d884-5259-a356-7b1f3b50e7d0_d69294d7-8d64-4915-a896-9996a014c410,电力生产、光伏、3kWp 倾斜屋顶安装、多晶硅、面板、已安装,中国，河南(河南),kWh
01d5a9d6-53ac-51d4-b07e-4fe4add81ad2_014b2a3a-5685-44b8-89b7-34fb4a8d387c,燃气发动机生产，小型热电联产工厂,世界其它,unit
01dad718-f298-5742-aa7c-f9e69f93dc6c_f372d4c2-7310-4fb9-8bb6-bee214fd08d1,土地利用变化，多年生作物,印尼,ha
01e2e4af-7469-52de-bf9b-c75d63beeee3_27a1bd14-dcd9-4240-b283-788d2d38708a,屠宰场废物处理，提炼,世界其它,kg
01e2e4af-7469-52de-bf9b-c75d63beeee3_9e36204d-dec9-4fb1-98d6-d84febd5df2c,屠宰场废物处理，提炼,世界其它,kg
01e46ba1-4214-52a6-8e50-5bd4bd37cfcb_66c93e71-f32b-4591-901c-55395db5c132,电力市场，高压,喀麦隆,kWh
01e65892-9246-58eb-be98-1e783f89d974_4b7caf07-335d-4479-a3dc-08b87c156cd0,污水管网市场，5E9l/年，110 公里,全球,km
01eca8e0-0643-5dc6-9e59-189ca2e535fe_66c93e71-f32b-4591-901c-55395db5c132,在 6400kW 热电联产机组中处理来自甘蔗的甘蔗渣,巴西，南部电网,kWh
01eca8e0-0643-5dc6-9e59-189ca2e535fe_71e2f1db-a2c5-44d0-8337-dfff15be974d,在 6400kW 热电联产机组中处理来自甘蔗的甘蔗渣,巴西，南部电网,MJ
01f04849-73f8-545c-a7bb-ce9bb90056b4_3861f979-d753-5af1-81c6-54a5cb1fdd88,氧化钪市场,全球,kg
01f13ad4-e68d-5d10-861a-e721fd90a488_759b89bd-3aa6-42ad-b767-5bb9ef5d331d,电力电压从高压到中压的转换,加拿大努勒维特,kWh
01f67718-19d7-5e6a-922a-532cd2879977_45fbbc41-7ae9-46cc-bb31-abfa11e69de0,废聚乙烯处理，市政焚烧,世界其它,MJ
01f67718-19d7-5e6a-922a-532cd2879977_637ee275-a239-4dcb-b084-abfa110dd65b,废聚乙烯处理，市政焚烧,世界其它,kWh
01f67718-19d7-5e6a-922a-532cd2879977_7ee0ddc3-924d-4339-b9bf-7856af6a698f,废聚乙烯处理，市政焚烧,世界其它,kg
01f718e9-5deb-512f-adef-616e3ff3c7ba_0930efae-d130-40c6-95bf-8e4966913dc8,聚苯乙烯生产，挤压，CO2 吹制,欧洲,kg
01f88f15-d36d-556a-b51c-cc2910f801bc_37eceabd-b33f-4757-a4b9-5c51dee1710d,碎石市场，碎石,印度,kg
01f934f1-f1d6-5276-a626-d6dba56c4482_0b0ceb4f-24d2-4245-a155-925b136eb55c,建立果园,瑞士,unit
02092846-3a40-5b9b-8971-f2ebe70e48d3_1aa2980f-e55f-43bc-806c-1c884b798f97,碎玻璃市场，用过的阴极射线管制成的混合玻璃,全球,kg
0209ff47-3620-55f6-9d3c-5ad3b2cf7e31_66c93e71-f32b-4591-901c-55395db5c132,热电联产、石油,俄罗斯,kWh
